＃,系統,權限,功能 / 頁面,測試功能,測試情境,操作步驟,期望結果
11,SuperDSP,"Onead User
Agency User",Campaign Level - 走期 Filter,【情境】【UI/UX】走期 Filter 及廣告列表顯示,當廣告活動列表中有多筆時，驗證搜尋結果,"1. 建立一筆名為 “第一筆” 的廣告活動，走期設定為 2026/02/01 ~ 2026/02/05
2. 建立一筆名為 “第二筆” 的廣告活動，走期設定為 2026/02/07 ~ 2026/02/08
3. 點擊走期 Filter 選取 2026/02/07 ~ 2026/02/08",1. 廣告列表中僅顯示  “第二筆” 的廣告活動資訊
12,SuperDSP,"Onead User
Agency User",Campaign Level - 走期 Filter,【情境】【UI/UX】走期 Filter 及廣告列表顯示,當廣告活動列表中有多筆時，驗證搜尋結果,"1. 建立一筆名為 “第一筆” 的廣告活動，走期設定為 2026/02/01 ~ 2026/02/05
2. 建立一筆名為 “第二筆” 的廣告活動，走期設定為 2026/02/07 ~ 2026/02/08
3. 點擊走期 Filter 選取 2026/02/07 ~ 2026/02/08
4. 搜尋名稱輸入 “第一筆”",1. 廣告列表中僅顯示  “第二筆” 的廣告活動資訊
13,SuperDSP,"Onead User
Agency User",廣告活動 - Ad group Level,【正向】【UI/UX】Dashboard 顯示,"當廣告活動未上刊或未花費時,Dashboard應顯示正確數值 ",1. 完成建立一廣告活動，且不調整廣告狀態,"1. Dashboard 應顯示正確的走期、預算/花費(零）、預計執行次數/已執行次數、完整觀看率、平均頻次及觸及UU
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態"
14,SuperDSP,"Onead User
Agency User",廣告活動 - Ad group Level,【正向】【UI/UX】Dashboard 顯示,"當廣告活動已上刊,且產生花費時,Dashboard應顯示正確數值 ",1. 將廣告調整為上刊，且已產生數據資料 (已刷廣告）,"1. Dashboard 應顯示正確的走期、預算/花費(零）、預計執行次數/已執行次數、完整觀看率、平均頻次及觸及UU
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態"
15,SuperDSP,"Onead User
Agency User",廣告活動 - Ad group Level,【反向】【UI/UX】Dashboard 顯示,"當廣告活動已上刊,且花費大於預算時,Dashboard應顯示正確數值 ",1. 將廣告調整為上刊，且已產生數據資料大於預算 (已刷廣告花費大於預算）,"1. Dashboard 應顯示正確的走期、預算/花費、預計執行次數/已執行次數、完整觀看率、平均頻次及觸及UU
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態
3. 當花費大於預算時，已花費需真實呈現"
16,SuperDSP,"Onead User
Agency User",Ad group Level - 廣告列表,【正向】【UI/UX】廣告列表資訊欄顯示,Ad group 未上刊或未花費時,1. 未將 Ad group 狀態調整為上刊，或上刊未產生任何數據 (未刷廣告）,"1. 列表資訊應顯示正確的走期、預算及花費等內容
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態"
17,SuperDSP,"Onead User
Agency User",Ad group Level - 廣告列表,【正向】【UI/UX】廣告列表資訊欄顯示,Ad group 已上刊，且已產生花費時,1. 將 Ad group 狀態調整為上刊，且產生數據資料 (已刷廣告）,"1. 列表資訊應顯示正確的走期、預算及花費等內容
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態"
18,SuperDSP,"Onead User
Agency User",Ad group Level - 廣告列表,【反向】【UI/UX】廣告列表資訊欄顯示,Ad group 已上刊，且花費大於預算時,1. 將 Ad group 狀態調整為上刊，且已產生數據資料大於預算 (已刷廣告花費大於預算）,"1. 列表資訊應顯示正確的走期、預算及花費等內容
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態
3. 當花費大於預算時，已花費需真實呈現"
19,SuperDSP,"Onead User
Agency User",Ad group Level - 走期 Filter,【正向】【UI/UX】走期 Filter 驗證,當廣告活動列表中僅有一筆時,"1. 建立一筆 Ad group，走期設定為 2026/02/01 ~ 2026/02/08 並完成新增
2. 點擊走期 Filter 驗證功能",1. 走期 Filter 的日期範圍不得超出 2026/02/01 ~ 2026/02/05 
20,SuperDSP,"Onead User
Agency User",Ad group Level - 走期 Filter,【正向】【UI/UX】走期 Filter 驗證,當廣告活動列表中有多筆時,"1. 建立一筆 Ad group，走期設定為 2026/02/01 ~ 2026/02/05
2. 建立一筆 Ad group，走期設定為 2026/02/07 ~ 2026/02/08
2. 點擊走期 Filter 驗證功能",1. 走期 Filter 的日期範圍不得超出 2026/02/01 ~ 2026/02/08
21,SuperDSP,"Onead User
Agency User",Ad group Level - 走期 Filter,【反向】【UI/UX】走期 Filter 驗證,當廣告活動列表中有一筆或多筆時,1. 走期 Filter 設定超出 Campaign 走期範圍的日期,1. 走期 Filter 的日期範圍不得超出 Ad group 最早及最晚的日期範圍
22,SuperDSP,"Onead User
Agency User",Ad group Level - 走期 Filter,【反向】【UI/UX】走期 Filter 驗證,當廣告活動列表中無任何廣告時,1. 不建立任一筆廣告活動,1. 無廣告活動時，時間搜尋 Disable
23,SuperDSP,"Onead User
Agency User",Ad group Level - 走期 Filter,【情境】【UI/UX】走期 Filter 及廣告列表顯示,當廣告活動列表中有多筆時，驗證搜尋結果,"1. 建立一筆名為 “AA"" 的 Ad group，走期設定為 2026/02/01 ~ 2026/02/05
2. 建立一筆名為 “BB” 的 Ad group，走期設定為 2026/02/07 ~ 2026/02/08
3. 點擊走期 Filter 選取 2026/02/07 ~ 2026/02/08",1. 廣告列表中僅顯示  “BB” 的廣告活動資訊
24,SuperDSP,"Onead User
Agency User",Ad group Level - 走期 Filter,【情境】【UI/UX】走期 Filter 及廣告列表顯示,當廣告活動列表中有多筆時，驗證搜尋結果,"1. 建立一筆名為 “第一筆” 的廣告活動，走期設定為 2026/02/01 ~ 2026/02/05
2. 建立一筆名為 “第二筆” 的廣告活動，走期設定為 2026/02/07 ~ 2026/02/08
3. 點擊走期 Filter 選取 2026/02/07 ~ 2026/02/08
4. 搜尋名稱輸入 “AA”",1. 廣告列表中僅顯示  “BB” 的廣告活動資訊
25,SuperDSP,Agency User,受眾鎖定 - 興趣,【正向】【UI/UX】選擇興趣標籤,在「興趣」設定中，選擇多個興趣標籤，並驗證其邏輯與 UI 反應,"1. 進入廣告活動設定的「受眾鎖定」區塊
2. 點擊「興趣」設定
3. 透過搜尋或瀏覽，勾選 3 個不同的興趣標籤 (例如：旅遊、美食、運動)
4. 確認選擇","1. 系統應顯示一個「已選擇」區域
2. 該區域應正確顯示剛剛勾選的 3 個標籤
3. 儲存設定時，系統應正確儲存資訊"
26,SuperDSP,Agency User,受眾鎖定 - 人口屬性,【正向】【UI/UX】選擇人口屬性標籤,在「人口屬性」設定中，選擇多個屬性標籤,"1. 進入廣告活動設定的「受眾鎖定」區塊
2. 點擊「人口屬性」設定
3. 點選「性別：男」和「年齡：25-34」
4. 確認選擇","1. 「已選擇」區域應正確顯示所選的 2 個標籤
2. 儲存設定時，系統應正確儲存資訊"
27,SuperDSP,Agency User,受眾鎖定 - 地理區域,【正向】【UI/UX】選擇地理區域標籤,在「地理區域」設定中，透過展開列表選擇多個城市,"1. 進入廣告活動設定的「受眾鎖定」區塊
2. 點擊「地理區域」設定
3. 展開「台灣」節點
4. 點選「台北市」和「高雄市」
5. 確認選擇","1. 「已選擇」區域應正確顯示所選的 2 個城市標籤
2. 儲存設定時，系統應正確儲存資訊"
28,SuperDSP,Agency User,受眾鎖定 - 排除網站,【正向】【UI/UX】選擇排除媒體標籤,在「排除網站」設定中，透過展開列表選擇多個網站類別及網站,"1. 進入廣告活動設定的「排除網站」區塊
2. 點擊「選擇欲排除網站」按鈕
3. 在選擇網站類別處點選「健康」和「母嬰」
4. 在選擇網站處點選「EBC地產王」和「中廣新聞網」(依實際列表名單點選)
5. 儲存選擇","1. 「已選擇」區域依所選擇的網站類別及網站名稱正確顯示內容
2. 儲存設定時，系統應正確儲存資訊"
29,SuperDSP,"Onead User
Agency User",受眾鎖定 - 排除網站,【情境】【UI/UX】選擇排除媒體標籤,"當該格式品類新增合作媒體時, 不應直接被勾選為排除網站名單內","1. Onead User 在該格式品類下新增一合作媒體
2. 進入編輯已上刊的廣告活動中，驗證該媒體網站是否被新增為排除網站",1. 該新增的合作媒體應 ”未“被顯示於排除的媒體網站列表內
30,SuperDSP,"Onead User
Agency User",廣告活動成效 - DailyReport,【情境】【功能】DailyReport 下載,驗證 DailyReport 下載功能及數據內容範圍,"1. 建立一筆 Ad group，走期設定為 2026/02/01 ~ 2026/02/05
2. 建立一筆 Ad group，走期設定為 2026/02/07 ~ 2026/02/08
3. 走期 Fliter 設定為 2026/02/01 ~ 2026/02/08
4. 點擊 DailyReport 下載","1. 下載報表的內容即呈現 2026/02/01 ~ 2026/02/08 的數據
2. 數據內容不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態
3. 所有數值欄位應使用數字/浮點數/百分比 型態，而非文字型態，以利後續資料加工與分析"
31,SuperDSP,"Onead User
Agency User",廣告活動成效 - DailyReport,【情境】【功能】DailyReport 下載,驗證 DailyReport 下載功能及數據內容範圍,"1. 建立一筆 Ad group，走期設定為 2026/02/03~ 2026/02/05
2. 建立一筆 Ad group，走期設定為 2026/02/05 ~ 2026/02/09
3. 走期 Fliter 設定為 2026/02/07 ~ 2026/02/09
4. 點擊 DailyReport 下載","1. 下載報表的內容僅呈現 2026/02/07 ~ 2026/02/09 的數據
2. 數據內容不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態
3. 所有數值欄位應使用數字/浮點數/百分比 型態，而非文字型態，以利後續資料加工與分析"
32,SuperDSP,"Onead User
Agency User",廣告活動成效 - 受眾洞察報告,【UI/UX】受眾洞察報告匯出頁面,驗證受眾洞察報告匯出頁面的 “數據截取至昨天”是否移除,"1. 將任一筆 Ad group 加入受眾洞察報告
2. 驗證 “數據截取至昨天”字樣是否移除","1.""數據截取至昨天"" 字樣應移除"
33,SuperDSP,"Onead User
Agency User",廣告活動成效 - 受眾洞察報告,【功能】受眾洞察報告匯出頁面,驗證單筆受眾洞察報告下載功能,"1. 將任一筆 Ad group 加入受眾洞察報告 (例：走期設定為 2026/02/03~ 2026/02/05)
2. 將受眾洞察報告中走期 Filter 設定為 2026/02/03 ~ 2026/02/05
3. 點擊匯出報表","1. 匯出的受眾洞察報告即顯示 2026/02/03 ~ 2026/02/05 之數據內容
2. 數據內容不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態
3. 所有數值欄位應使用數字/浮點數/百分比 型態，而非文字型態，以利後續資料加工與分析"
34,SuperDSP,"Onead User
Agency User",廣告活動成效 - 受眾洞察報告,【功能】受眾洞察報告匯出頁面,驗證多筆受眾洞察報告下載功能,"1. 將多筆 Ad group 加入受眾洞察報告
例: 
走期設定為 2026/02/03~ 2026/02/05
走期設定為 2026/02/04~ 2026/02/08
2. 將受眾洞察報告中走期 Filter 設定為 2026/02/03 ~ 2026/02/08
3. 點擊匯出報表","1. 匯出的受眾洞察報告即顯示 2026/02/03 ~ 2026/02/08 之數據內容
2. 數據內容不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態
3. 所有數值欄位應使用數字/浮點數/百分比 型態，而非文字型態，以利後續資料加工與分析"
35,SuperDSP,"Onead User
Agency User",廣告活動成效 - 受眾洞察報告,【情境】【功能】受眾洞察報告匯出頁面,驗證非完整走期的受眾洞察報告下載功能,"1. 將多筆 Ad group 加入受眾洞察報告
例: 
走期設定為 2026/02/03~ 2026/02/05
走期設定為 2026/02/04~ 2026/02/08
2. 將受眾洞察報告中走期 Filter 設定為 2026/02/04 ~ 2026/02/07
3. 點擊匯出報表","1. 匯出的受眾洞察報告僅顯示 2026/02/04 ~ 2026/02/07 之數據內容
2. 數據內容不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態"
36,SuperDSP,Onead User,Sequence.json,【正向】【數值驗證】,驗證 Sequence.json 各設定欄位數值,"1. 將已建立完成的廣告活動上刊
2. 查看設定的標籤內容並與 sequence.json 做驗證",1.在 seuqnece.json 各標籤內容，如預算、性別、年齡及投放地區等內容數值皆正確
